Month,Temperature,Time
Jan,25.134,Day
Feb,25.392,Day
Mar,26.977,Day
Apr,28.444,Day
May,29.447,Day
Jun,29.455,Day
Jul,28.541,Day
Aug,28.315,Day
Sep,29.151,Day
Oct,29.366,Day
Nov,28.033,Day
Dec,26.202,Day
Jan,25.052,Night
Feb,25.253,Night
Mar,26.79,Night
Apr,28.451,Night
May,29.557,Night
Jun,29.65,Night
Jul,28.826,Night
Aug,28.531,Night
Sep,28.938,Night
Oct,29.289,Night
Nov,28.014,Night
Dec,26.166,Night
