Month,Temperature,Time
Jan,23.446,Day
Feb,24.434,Day
Mar,26.728,Day
Apr,28.415,Day
May,29.613,Day
Jun,29.605,Day
Jul,28.624,Day
Aug,28.603,Day
Sep,29.515,Day
Oct,29.479,Day
Nov,27.347,Day
Dec,25,Day
Jan,23.322,Night
Feb,24.23,Night
Mar,26.537,Night
Apr,28.435,Night
May,29.63,Night
Jun,29.746,Night
Jul,28.905,Night
Aug,28.67,Night
Sep,29.238,Night
Oct,29.347,Night
Nov,27.181,Night
Dec,24.866,Night
