Month,BD Coast ,Outer Coast ,Offshore
Jan,23.322,25.052,25.681
Feb,24.230,25.253,25.747
Mar,26.537,26.790,26.991
Apr,28.435,28.451,28.534
May,29.630,29.557,29.485
Jun,29.746,29.650,29.351
Jul,28.905,28.826,28.831
Aug,28.670,28.531,28.538
Sep,29.238,28.938,28.774
Oct,29.347,29.289,29.127
Nov,27.181,28.014,28.350
Dec,24.866,26.166,26.781
